,gameId
1125,KR_5592498346
1126,KR_5592521844
1127,KR_5592347332
1128,KR_5592291799
1129,KR_5592113727
1130,KR_5591888060
1131,KR_5591276807
1132,KR_5591231036
1133,KR_5591087577
1134,KR_5590959529
1135,KR_5590845427
1136,KR_5590597087
1137,KR_5590538011
1138,KR_5590450891
1139,KR_5590374657
1140,KR_5590334516
1141,KR_5590158613
1142,KR_5590151976
1143,KR_5590065631
1144,KR_5590062860
1145,KR_5589959164
1146,KR_5590006135
1147,KR_5589992435
1148,KR_5589869634
1149,KR_5589885350
1150,KR_5578481039
1151,KR_5577088444
1152,KR_5577039764
1153,KR_5576912169
1154,KR_5576227595
1155,KR_5576214256
1156,KR_5569259021
1157,KR_5569304317
1158,KR_5569185819
1159,KR_5569056545
1160,KR_5569029100
1161,KR_5569020501
1162,KR_5568862291
1163,KR_5568754701
1164,KR_5566642342
1165,KR_5564818954
1166,KR_5558951411
1167,KR_5558896472
1168,KR_5556204169
1169,KR_5556173569
1170,KR_5555052476
1171,KR_5548952194
1172,KR_5548884986
1173,KR_5548713983
1174,KR_5548556958
1175,KR_5546765654
1176,KR_5542196679
1177,KR_5542201805
1178,KR_5541942800
1179,KR_5534784771
1180,KR_5534626899
1181,KR_5534575162
1182,KR_5534482033
1183,KR_5532455964
1184,KR_5530672412
1185,KR_5529166535
1186,KR_5528593916
1187,KR_5526693983
1188,KR_5524494808
1189,KR_5523060190
1190,KR_5521149870
1191,KR_5519708826
1192,KR_5517998949
1193,KR_5516819000
1194,KR_5513947702
1195,KR_5510807497
1196,KR_5510381267
1197,KR_5507398163
1198,KR_5507283200
1199,KR_5504376595
1200,KR_5570488455
1201,KR_5566686913
1202,KR_5566475718
1203,KR_5564373911
1204,KR_5564126371
1205,KR_5564093317
1206,KR_5563957233
1207,KR_5562739481
1208,KR_5558868071
1209,KR_5558728113
1210,KR_5558554662
1211,KR_5557146256
1212,KR_5557170533
1213,KR_5554546548
1214,KR_5552768432
1215,KR_5552679548
1216,KR_5542467914
1217,KR_5541744637
1218,KR_5541577104
1219,KR_5539971931
1220,KR_5537368579
1221,KR_5537349637
1222,KR_5529497239
1223,KR_5529443284
1224,KR_5528540027
1225,KR_5528040646
1226,KR_5527984376
1227,KR_5527828209
1228,KR_5527920642
1229,KR_5527614580
1230,KR_5519825566
1231,KR_5519759340
1232,KR_5519704210
1233,KR_5519464669
1234,KR_5518407645
1235,KR_5518431788
1236,KR_5518336130
1237,KR_5518083015
1238,KR_5517876143
1239,KR_5512338068
1240,KR_5512282390
1241,KR_5512186150
1242,KR_5512182364
1243,KR_5507276969
1244,KR_5507244376
1245,KR_5497396845
1246,KR_5497319776
1247,KR_5494145459
1248,KR_5494180547
1249,KR_5494067225
1250,KR_5597872115
1251,KR_5597372599
1252,KR_5597360345
1253,KR_5596153996
1254,KR_5565384492
1255,KR_5565321936
1256,KR_5555471677
1257,KR_5553542400
1258,KR_5548236230
1259,KR_5544785357
1260,KR_5544671100
1261,KR_5544407555
1262,KR_5544372502
1263,KR_5544238861
1264,KR_5544225232
1265,KR_5544231403
1266,KR_5544129300
1267,KR_5544156478
1268,KR_5542977537
1269,KR_5542578381
1270,KR_5542651937
1271,KR_5542467914
1272,KR_5542435236
1273,KR_5542461976
1274,KR_5542230833
1275,KR_5542215322
1276,KR_5542201805
1277,KR_5542054499
1278,KR_5541906484
1279,KR_5541757852
1280,KR_5541780143
1281,KR_5541497127
1282,KR_5541196404
1283,KR_5541192460
1284,KR_5541098756
1285,KR_5541037614
1286,KR_5541081654
1287,KR_5540958476
1288,KR_5540974718
1289,KR_5537235711
1290,KR_5536716769
1291,KR_5536448998
1292,KR_5536500562
1293,KR_5536383092
1294,KR_5536223449
1295,KR_5536107534
1296,KR_5536154984
1297,KR_5536019270
1298,KR_5535967846
1299,KR_5535923938
1300,KR_5591909493
1301,KR_5589227414
1302,KR_5589167054
1303,KR_5589195836
1304,KR_5589210694
1305,KR_5589102971
1306,KR_5589039401
1307,KR_5589016566
1308,KR_5588899643
1309,KR_5588838463
1310,KR_5588718224
1311,KR_5565122156
1312,KR_5565064383
1313,KR_5564957920
1314,KR_5564882496
1315,KR_5564737511
1316,KR_5564603663
1317,KR_5563183708
1318,KR_5563124256
1319,KR_5563041105
1320,KR_5562846539
1321,KR_5561696729
1322,KR_5561690469
1323,KR_5561524931
1324,KR_5561401459
1325,KR_5561366092
1326,KR_5559012897
1327,KR_5558859004
1328,KR_5558893529
1329,KR_5558799794
1330,KR_5558770325
1331,KR_5558672639
1332,KR_5558555126
1333,KR_5558483875
1334,KR_5558377362
1335,KR_5558257075
1336,KR_5555505972
1337,KR_5555472489
1338,KR_5555214372
1339,KR_5555108100
1340,KR_5555052476
1341,KR_5554964704
1342,KR_5554934449
1343,KR_5554758147
1344,KR_5554737798
1345,KR_5554642314
1346,KR_5553265253
1347,KR_5553260088
1348,KR_5553132249
1349,KR_5553022864
1350,KR_5601220129
1351,KR_5600339664
1352,KR_5600183120
1353,KR_5600122308
1354,KR_5600025278
1355,KR_5599789662
1356,KR_5597301170
1357,KR_5597255969
1358,KR_5596877299
1359,KR_5596769802
1360,KR_5595771237
